bucket,lower_boundary,upper_boundary,number_of_values,frequency,average_frequency,variance,bucket_cost
1,9520,9520,1,1.0,1.0,0.0,0.0
2,9542,9542,1,1.0,1.0,0.0,0.0
3,12564,12564,1,1.0,1.0,0.0,0.0
4,14690,14690,1,1.0,1.0,0.0,0.0
5,15023,15023,1,1.0,1.0,0.0,0.0
6,15791,15791,1,1.0,1.0,0.0,0.0
7,15984,15984,1,1.0,1.0,0.0,0.0
8,21674,21674,1,1.0,1.0,0.0,0.0
9,23848,23848,1,1.0,1.0,0.0,0.0
10,23881,23881,1,1.0,1.0,0.0,0.0
11,24690,24690,1,1.0,1.0,0.0,0.0
12,28327,28327,1,1.0,1.0,0.0,0.0
13,33249,33249,1,1.0,1.0,0.0,0.0
14,33469,33469,1,1.0,1.0,0.0,0.0
15,35278,35278,1,1.0,1.0,0.0,0.0
16,46991,46991,1,1.0,1.0,0.0,0.0
17,49092,49092,1,1.0,1.0,0.0,0.0
18,49311,49311,1,1.0,1.0,0.0,0.0
19,50670,50670,1,1.0,1.0,0.0,0.0
20,51394,2521723,981,981.0,1.0,0.0,0.0
