bucket,lower_boundary,upper_boundary,frequency
1,248,169198,150
2,169198,267853,150
3,267853,385716,150
4,385716,506891,150
5,506891,700484,150
6,700484,844065,150
7,844065,979651,150
8,979651,1121786,150
9,1121786,1244412,150
10,1244412,1381880,150
11,1381880,1482094,150
12,1482094,1625252,150
13,1625252,1744328,150
14,1744328,1844490,150
15,1844490,1965826,150
16,1965826,2110285,150
17,2110285,2218577,150
18,2218577,2313363,150
19,2313363,2416171,150
20,2416171,2526845,150
