bucket,query_value,actual_frequency,estimated_frequency,selectivity_error
1,1342,1.0,1.0,0.0
1,3132,1.0,1.0,0.0
1,3535,1.0,1.0,0.0
1,4154,1.0,1.0,0.0
1,5476,1.0,1.0,0.0
1,6267,1.0,1.0,0.0
1,6907,1.0,1.0,0.0
1,8215,1.0,1.0,0.0
1,9473,1.0,1.0,0.0
1,10072,1.0,1.0,0.0
1,10646,1.0,1.0,0.0
1,10911,1.0,1.0,0.0
1,11019,1.0,1.0,0.0
1,13105,1.0,1.0,0.0
1,13542,1.0,1.0,0.0
1,14335,1.0,1.0,0.0
1,14650,1.0,1.0,0.0
1,15026,1.0,1.0,0.0
1,15717,1.0,1.0,0.0
1,16515,1.0,1.0,0.0
1,17615,1.0,1.0,0.0
1,17811,1.0,1.0,0.0
1,19166,1.0,1.0,0.0
1,19919,1.0,1.0,0.0
1,20297,1.0,1.0,0.0
1,20767,1.0,1.0,0.0
1,21097,1.0,1.0,0.0
1,21276,1.0,1.0,0.0
1,22650,1.0,1.0,0.0
1,24040,1.0,1.0,0.0
1,24535,1.0,1.0,0.0
1,24577,1.0,1.0,0.0
1,26973,1.0,1.0,0.0
1,29341,1.0,1.0,0.0
1,29694,1.0,1.0,0.0
1,29892,1.0,1.0,0.0
1,30124,1.0,1.0,0.0
1,30165,1.0,1.0,0.0
1,30356,1.0,1.0,0.0
1,30552,1.0,1.0,0.0
1,30828,1.0,1.0,0.0
1,31261,1.0,1.0,0.0
1,32074,1.0,1.0,0.0
1,32555,1.0,1.0,0.0
1,33104,1.0,1.0,0.0
1,34419,1.0,1.0,0.0
1,35342,1.0,1.0,0.0
1,35893,1.0,1.0,0.0
1,35960,1.0,1.0,0.0
1,36022,1.0,1.0,0.0
1,37170,1.0,1.0,0.0
1,38161,1.0,1.0,0.0
1,39524,1.0,1.0,0.0
1,39589,1.0,1.0,0.0
1,40110,1.0,1.0,0.0
1,41034,1.0,1.0,0.0
1,43934,1.0,1.0,0.0
1,44508,1.0,1.0,0.0
1,45715,1.0,1.0,0.0
1,46475,1.0,1.0,0.0
1,46485,1.0,1.0,0.0
1,47984,1.0,1.0,0.0
1,49184,1.0,1.0,0.0
1,49677,1.0,1.0,0.0
1,50419,1.0,1.0,0.0
1,51566,1.0,1.0,0.0
1,51729,1.0,1.0,0.0
1,52025,1.0,1.0,0.0
1,53197,1.0,1.0,0.0
1,53396,1.0,1.0,0.0
1,53530,1.0,1.0,0.0
1,53926,1.0,1.0,0.0
1,56840,1.0,1.0,0.0
1,58461,1.0,1.0,0.0
1,59072,1.0,1.0,0.0
1,60040,1.0,1.0,0.0
1,60129,1.0,1.0,0.0
1,60377,1.0,1.0,0.0
1,63128,1.0,1.0,0.0
1,63602,1.0,1.0,0.0
1,65646,1.0,1.0,0.0
1,67650,1.0,1.0,0.0
1,68828,1.0,1.0,0.0
1,69209,1.0,1.0,0.0
1,69541,1.0,1.0,0.0
1,69749,1.0,1.0,0.0
1,70453,1.0,1.0,0.0
1,71179,1.0,1.0,0.0
1,71584,1.0,1.0,0.0
1,71891,1.0,1.0,0.0
1,71968,1.0,1.0,0.0
1,72419,1.0,1.0,0.0
1,75208,1.0,1.0,0.0
1,75556,1.0,1.0,0.0
1,76203,1.0,1.0,0.0
1,77973,1.0,1.0,0.0
1,78072,1.0,1.0,0.0
1,78361,1.0,1.0,0.0
1,79198,1.0,1.0,0.0
1,79209,1.0,1.0,0.0
1,79227,1.0,1.0,0.0
1,79363,1.0,1.0,0.0
1,79810,1.0,1.0,0.0
1,80403,1.0,1.0,0.0
1,81714,1.0,1.0,0.0
1,82131,1.0,1.0,0.0
1,82423,1.0,1.0,0.0
1,85052,1.0,1.0,0.0
1,85379,1.0,1.0,0.0
1,85991,1.0,1.0,0.0
1,86996,1.0,1.0,0.0
1,87187,1.0,1.0,0.0
1,87798,1.0,1.0,0.0
1,88254,1.0,1.0,0.0
1,88655,1.0,1.0,0.0
