bucket,lower_boundary,upper_boundary,frequency
1,$5 Fixes with Erica Domesek,(#1.29),50
2,(#1.29),(#13.6),50
3,(#13.6),(#6.35),50
4,(#6.35),(1999-03-08),50
5,(1999-03-08),(2008-08-06),50
6,(2008-08-06),A Sweet Deal/King of Swing,50
7,A Sweet Deal/King of Swing,Berlin PolitiX,50
8,Berlin PolitiX,Cook for Your Life,50
9,Cook for Your Life,Ein starker Abgang,50
10,Ein starker Abgang,Historia de un ballet,50
11,Historia de un ballet,Kabuslar evi - Karanliktan gelen,50
12,Kabuslar evi - Karanliktan gelen,Les enfants s'amusent,50
13,Les enfants s'amusent,Meet the Jaffers,50
14,Meet the Jaffers,P.O.V. 20,50
15,P.O.V. 20,Rosemary Clooney vs. Shelley Berman,50
16,Rosemary Clooney vs. Shelley Berman,Spacious Mess,50
17,Spacious Mess,The Face in the Mirror,50
18,The Face in the Mirror,The Trojan Biskitt/Snatched from Scratch,50
19,The Trojan Biskitt/Snatched from Scratch,Unlocking the Past,50
20,Unlocking the Past,Îshido marû,50
