bucket,lower_boundary,upper_boundary,number_of_values,frequency,average_frequency,variance,bucket_cost
1,'Transamerica': Travelin' Thru,'Transamerica': Travelin' Thru,1,1.0,1.0,0.0,0.0
2,(#1.1),(#1.1),1,13.0,13.0,0.0,0.0
3,(#1.10),(#1.10),1,3.0,3.0,0.0,0.0
4,(#1.1010),(#1.1990),55,71.0,1.290909090909091,0.5335537190082643,29.345454545454537
5,(#1.2),(#1.2),1,6.0,6.0,0.0,0.0
6,(#1.20),(#1.299),32,40.0,1.25,0.3125,10.0
7,(#1.3),(#1.3),1,8.0,8.0,0.0,0.0
8,(#1.3023),(#1.395),20,21.0,1.05,0.04750000000000001,0.9500000000000002
9,(#1.4),(#1.4),1,7.0,7.0,0.0,0.0
10,(#1.40),(#1.4939),18,19.0,1.0555555555555556,0.05246913580246914,0.9444444444444445
11,(#1.5),(#1.5),1,10.0,10.0,0.0,0.0
12,(#1.50),(#1.5972),13,14.0,1.0769230769230769,0.07100591715976333,0.9230769230769232
13,(#1.6),(#1.6),1,8.0,8.0,0.0,0.0
14,(#1.6035),(#1.6937),10,10.0,1.0,0.0,0.0
15,(#1.7),(#1.7),1,9.0,9.0,0.0,0.0
16,(#1.71),(#1.77),7,7.0,1.0,0.0,0.0
17,(#1.78),(#1.79),2,4.0,2.0,0.0,0.0
18,(#1.8),(#1.8),1,8.0,8.0,0.0,0.0
19,(#1.80),(#4.10),102,129.0,1.2647058823529411,0.6456170703575547,65.85294117647058
20,(#4.16),Zwei Männer sind einer zu wenig,2588,2612.0,1.009273570324575,0.016915546488489253,43.77743431221018
