query_percentile,query_value,estimated_selectivity,actual_selectivity,absolute_error
5.0,(#1.3176),0.1,0.04999897164590446,0.05000102835409555
10.0,(#14.9),0.05,0.09999082391730135,0.04999082391730135
15.0,(#7.5),0.1,0.14997160160613088,0.04997160160613087
20.0,(2001-04-10),0.1999999743448706,0.19998441648024454,1.5557864626064566e-05
25.0,(2009-02-26),0.2027777770208934,0.24999881343758207,0.04722103641668868
30.0,A Messenger to Kearney,0.25,0.29999976268751644,0.049999762687516436
35.0,Basura,0.4,0.34999715225019695,0.05000284774980307
40.0,Circus Trick,0.4,0.3999996835833552,3.1641664482995324e-07
45.0,Do Not Disturb,0.5,0.4499899537715282,0.05001004622847183
50.0,Football Champion,0.5,0.5,0.0
55.00000000000001,Hop to It,0.6,0.5499989716459045,0.05000102835409548
60.0,King for a Day,0.6,0.5999983388126149,1.6611873850935766e-06
65.0,Luxus-eljárás,0.6500000001838131,0.6499996835833552,3.1660045785031343e-07
70.0,Night Owl/Another Road,0.7,0.6999998417916776,1.582083223317099e-07
75.0,Prespes,0.8,0.75,0.050000000000000044
80.0,Shahi Chor,0.85,0.7999997626875164,0.0500002373124836
85.0,That Time in Boston,0.9,0.8499999208958388,0.050000079104161266
90.0,The Other Window,0.9,0.8999996835833552,3.164166447744421e-07
95.0,Ullam Urugudhudai,0.95,0.9499998417916776,1.582083223317099e-07
